Матрица доступов по панелям управления;;;;;;;;;;;
Сущность;Тип;Собственник агентства;Руководитель агентства;РОП;Маркетолог;Менеджер по продажам / риелтор;Специалист по закупке объектов;Специалист по документам / юрист;Финансовый сотрудник / бухгалтер;HR / специалист по обучению;Партнёрский риелтор
CRM;Панели;ПР;П;П;ПР;Р;П;О;ПР;—;—
Распределение лидов;Панели;ПР;П;П;ПР;—;—;—;—;—;—
Источники лидов;Панели;ПР;П;ПР;П;—;—;—;—;—;—
Документы;Панели;ПР;П;ПР;—;О;О;П;ПР;—;—
Объекты;Панели;ПР;П;П;ПР;Р;П;ПР;ПР;—;О
MLS;Панели;ПР;П;П;ПР;Р;Р;ПР;ПР;—;Р
Команда;Панели;ПР;П;О;—;—;—;—;—;П;—
Обучение и база знаний;Панели;ПР;П;О;—;ПР;ПР;ПР;—;П;—
Финансы;Панели;ПР;П;ПР;—;—;—;—;П;—;—
Уведомления;Панели;ПР;П;О;О;О;О;О;О;О;О
AI-автоматизации;Панели;ПР;П;П;О;О;О;—;—;—;—
Автозадачи и триггеры;Панели;ПР;П;П;—;О;О;—;—;—;—
Новостройки;Панели;ПР;П;П;ПР;Р;Р;ПР;ПР;—;О
Партнёры первичного рынка;Панели;ПР;П;П;ПР;О;Р;—;ПР;—;—
MLS вторичного рынка;Панели;ПР;П;П;ПР;Р;Р;ПР;ПР;—;Р
Верификация партнёров MLS вторичного рынка;Панели;ПР;П;П;—;—;О;—;—;—;—
MLS аренды;Панели;ПР;П;П;ПР;Р;О;ПР;ПР;—;Р
Верификация партнёров MLS аренды;Панели;ПР;П;П;—;—;—;—;—;—;—
Сообщество;Панели;ПР;П;П;ПР;Р;О;—;—;О;Р
Партнёры сообщества;Панели;ПР;П;П;О;О;—;—;—;—;О