ALPHABASE.sale — сводка по ролям и доступам;;;
Роль;Краткая функция;Комментарий;Примечание
Собственник агентства;Почти равен директору по обычным правам;Ключевая разница — права безопасности и контроль критических доступов;
Руководитель агентства;Полный операционный и управленческий доступ;Основная управляющая роль внутри агентства;
РОП;Главный операционный управляющий продажами;CRM, лиды, распределение, объекты, MLS, автозадачи;
Маркетолог;Контур лидогенерации и маркетинга;Источники, маркетинговые отчёты, аналитика лидов;
Менеджер по продажам / риелтор;Работа с клиентом, объектом и сделкой;Ограничен своим рабочим контуром;
Специалист по закупке объектов;Работа с собственниками и объектами;Полноценный доступ к CRM, объектам и части MLS;
Специалист по документам / юрист;Документный контур и контроль согласований;Полный доступ к панели документов;
Финансовый сотрудник / бухгалтер;Финансовый контур;Финансы, сделки и связанные документы в части просмотра;
HR / специалист по обучению;Команда, обучение и развитие;Нет доступа к операционным продажным контурам;
Партнёрский риелтор;Ограниченный внешний рабочий контур;MLS и доступные объекты / сообщество;